#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
106,5/20/2023 16:00,62.083,16.71277778,464,Thorndyke,Ground Bag,Low
107,5/20/2023 16:15,62.254,16.80777778,576,Thorndyke,Ground Bag,Low
108,5/20/2023 16:30,61.398,16.33222222,464,Thorndyke,Ground Bag,Low
109,5/20/2023 16:45,60.883,16.04611111,496,Thorndyke,Ground Bag,Low
110,5/20/2023 17:00,58.82,14.9,480,Thorndyke,Ground Bag,Low
111,5/20/2023 17:15,58.131,14.51722222,464,Thorndyke,Ground Bag,Low
112,5/20/2023 17:30,57.614,14.23,400,Thorndyke,Ground Bag,Low
113,5/20/2023 17:45,57.614,14.23,272,Thorndyke,Ground Bag,Low
114,5/20/2023 18:00,57.441,14.13388889,168,Thorndyke,Ground Bag,Low
115,5/20/2023 18:15,57.096,13.94222222,144,Thorndyke,Ground Bag,Low
116,5/20/2023 18:30,57.096,13.94222222,120,Thorndyke,Ground Bag,Low
117,5/20/2023 18:45,57.096,13.94222222,86,Thorndyke,Ground Bag,Low
118,5/20/2023 19:00,56.923,13.84611111,67,Thorndyke,Ground Bag,Low
119,5/20/2023 19:15,56.23,13.46111111,56,Thorndyke,Ground Bag,Low
120,5/20/2023 19:30,56.057,13.365,25,Thorndyke,Ground Bag,Low
121,5/20/2023 19:45,56.057,13.365,13,Thorndyke,Ground Bag,Low
122,5/20/2023 20:00,55.364,12.98,7,Thorndyke,Ground Bag,Low
123,5/20/2023 20:15,55.537,13.07611111,6,Thorndyke,Ground Bag,Low
124,5/20/2023 20:30,55.364,12.98,3,Thorndyke,Ground Bag,Low
125,5/20/2023 20:45,55.884,13.26888889,0,Thorndyke,Ground Bag,Low
126,5/20/2023 21:00,56.057,13.365,0,Thorndyke,Ground Bag,Low
127,5/20/2023 21:15,56.577,13.65388889,0,Thorndyke,Ground Bag,Low
128,5/20/2023 21:30,56.75,13.75,0,Thorndyke,Ground Bag,Low
129,5/20/2023 21:45,56.404,13.55777778,0,Thorndyke,Ground Bag,Low
130,5/20/2023 22:00,56.057,13.365,0,Thorndyke,Ground Bag,Low
131,5/20/2023 22:15,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
132,5/20/2023 22:30,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
133,5/20/2023 22:45,55.364,12.98,0,Thorndyke,Ground Bag,Low
134,5/20/2023 23:00,55.364,12.98,0,Thorndyke,Ground Bag,Low
135,5/20/2023 23:15,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
136,5/20/2023 23:30,55.364,12.98,0,Thorndyke,Ground Bag,Low
137,5/20/2023 23:45,55.364,12.98,0,Thorndyke,Ground Bag,Low
138,5/21/2023 0:00,55.364,12.98,0,Thorndyke,Ground Bag,Low
139,5/21/2023 0:15,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
140,5/21/2023 0:30,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
141,5/21/2023 0:45,54.842,12.69,0,Thorndyke,Ground Bag,Low
142,5/21/2023 1:00,54.842,12.69,0,Thorndyke,Ground Bag,Low
143,5/21/2023 1:15,54.842,12.69,0,Thorndyke,Ground Bag,Low
144,5/21/2023 1:30,54.842,12.69,0,Thorndyke,Ground Bag,Low
145,5/21/2023 1:45,54.842,12.69,0,Thorndyke,Ground Bag,Low
146,5/21/2023 2:00,54.842,12.69,0,Thorndyke,Ground Bag,Low
147,5/21/2023 2:15,54.842,12.69,0,Thorndyke,Ground Bag,Low
148,5/21/2023 2:30,54.842,12.69,0,Thorndyke,Ground Bag,Low
149,5/21/2023 2:45,54.842,12.69,0,Thorndyke,Ground Bag,Low
150,5/21/2023 3:00,54.842,12.69,0,Thorndyke,Ground Bag,Low
151,5/21/2023 3:15,54.842,12.69,0,Thorndyke,Ground Bag,Low
152,5/21/2023 3:30,54.842,12.69,0,Thorndyke,Ground Bag,Low
153,5/21/2023 3:45,54.842,12.69,0,Thorndyke,Ground Bag,Low
154,5/21/2023 4:00,54.842,12.69,0,Thorndyke,Ground Bag,Low
155,5/21/2023 4:15,54.842,12.69,0,Thorndyke,Ground Bag,Low
156,5/21/2023 4:30,54.842,12.69,0,Thorndyke,Ground Bag,Low
157,5/21/2023 4:45,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
158,5/21/2023 5:00,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
159,5/21/2023 5:15,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
160,5/21/2023 5:30,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
161,5/21/2023 5:45,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
162,5/21/2023 6:00,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
163,5/21/2023 6:15,55.017,12.78722222,2,Thorndyke,Ground Bag,Low
164,5/21/2023 6:30,55.017,12.78722222,3,Thorndyke,Ground Bag,Low
165,5/21/2023 6:45,55.017,12.78722222,5,Thorndyke,Ground Bag,Low
166,5/21/2023 7:00,55.017,12.78722222,8,Thorndyke,Ground Bag,Low
167,5/21/2023 7:15,55.189,12.88277778,9,Thorndyke,Ground Bag,Low
168,5/21/2023 7:30,55.189,12.88277778,4,Thorndyke,Ground Bag,Low
169,5/21/2023 7:45,55.189,12.88277778,18,Thorndyke,Ground Bag,Low
170,5/21/2023 8:00,55.364,12.98,20,Thorndyke,Ground Bag,Low
171,5/21/2023 8:15,55.364,12.98,29,Thorndyke,Ground Bag,Low
172,5/21/2023 8:30,55.364,12.98,22,Thorndyke,Ground Bag,Low
173,5/21/2023 8:45,55.364,12.98,14,Thorndyke,Ground Bag,Low
174,5/21/2023 9:00,55.537,13.07611111,41,Thorndyke,Ground Bag,Low
175,5/21/2023 9:15,55.537,13.07611111,53,Thorndyke,Ground Bag,Low
176,5/21/2023 9:30,55.884,13.26888889,90,Thorndyke,Ground Bag,Low
177,5/21/2023 9:45,56.23,13.46111111,128,Thorndyke,Ground Bag,Low
178,5/21/2023 10:00,56.577,13.65388889,200,Thorndyke,Ground Bag,Low
179,5/21/2023 10:15,57.785,14.325,1536,Thorndyke,Ground Bag,Low
180,5/21/2023 10:30,60.883,16.04611111,3328,Thorndyke,Ground Bag,Low
181,5/21/2023 10:45,63.968,17.76,3584,Thorndyke,Ground Bag,Low
182,5/21/2023 11:00,69.449,20.805,5376,Thorndyke,Ground Bag,Low
183,5/21/2023 11:15,69.622,20.90111111,5120,Thorndyke,Ground Bag,Low
184,5/21/2023 11:30,70.651,21.47277778,6400,Thorndyke,Ground Bag,Low
185,5/21/2023 11:45,67.906,19.94777778,4608,Thorndyke,Ground Bag,Low
186,5/21/2023 12:00,67.221,19.56722222,4352,Thorndyke,Ground Bag,Low
187,5/21/2023 12:15,68.592,20.32888889,5888,Thorndyke,Ground Bag,Low
188,5/21/2023 12:30,70.995,21.66388889,6912,Thorndyke,Ground Bag,Low
189,5/21/2023 12:45,71.683,22.04611111,6656,Thorndyke,Ground Bag,Low
190,5/21/2023 13:00,74.619,23.67722222,7424,Thorndyke,Ground Bag,Low
191,5/21/2023 13:15,72.545,22.525,5120,Thorndyke,Ground Bag,Low
192,5/21/2023 13:30,70.824,21.56888889,5632,Thorndyke,Ground Bag,Low
